volatility,return
0.246506,0.125751
0.278914,0.134704
0.222825,0.150086
0.274621,0.147536
0.335476,0.132171
0.209841,0.143455
0.216521,0.130026
0.262764,0.135916
0.255078,0.122513
0.237326,0.128972
0.246833,0.161569
0.257938,0.145136
0.247843,0.119638
0.212776,0.126206
0.258936,0.139846
0.242608,0.131056
0.265637,0.158171
0.266288,0.146349
0.23873,0.157922
0.241796,0.123413
0.267116,0.145661
0.223828,0.157625
0.303945,0.156577
0.296532,0.154916
0.233281,0.132502
0.259097,0.121869
0.26301,0.135032
0.285167,0.148021
0.210785,0.123913
0.28274,0.137798
0.215973,0.121783
0.292636,0.141922
0.283398,0.140607
0.272054,0.146172
0.227168,0.136911
0.239815,0.152578
0.288384,0.139139
0.236512,0.146371
0.257543,0.129701
0.225335,0.133054
0.234094,0.128836
0.218439,0.133871
0.303039,0.144377
0.283948,0.15316
0.247104,0.137773
0.261723,0.147434
0.268942,0.141879
0.230117,0.10351
0.285101,0.148906
0.264788,0.148692
0.232501,0.155585
0.255349,0.12246
0.263778,0.158539
0.230487,0.139668
0.227878,0.122005
0.311139,0.13353
0.218804,0.122492
0.251367,0.139128
0.241663,0.148197
0.253449,0.147865
0.223008,0.107888
0.285173,0.159802
0.237041,0.134377
0.24347,0.141157
0.193714,0.12167
0.277885,0.130207
0.2677,0.15015
0.246123,0.13972
0.291063,0.154486
0.283429,0.135893
0.300467,0.143774
0.261251,0.137731
0.248566,0.160676
0.221892,0.143812
0.25476,0.145198
0.237343,0.14567
0.238966,0.14624
0.251681,0.162317
0.249051,0.136836
0.24357,0.142201
0.24872,0.153957
0.230418,0.141182
0.225384,0.12414
0.202948,0.131777
0.232189,0.136912
0.258916,0.135302
0.256222,0.156556
0.247173,0.137041
0.263526,0.150907
0.225751,0.138424
0.221001,0.138065
0.238908,0.148664
0.274695,0.138186
0.277255,0.132736
0.272885,0.145625
0.283295,0.132374
0.25034,0.140226
0.265056,0.130717
0.225592,0.129617
0.2315,0.142338
0.251319,0.15322
0.223052,0.137907
0.219491,0.142834
0.239349,0.148904
0.30521,0.151766
0.268466,0.147359
0.234938,0.143179
0.282072,0.137968
0.285093,0.136206
0.234914,0.137484
0.224625,0.144523
0.231433,0.135364
0.25371,0.126731
0.243828,0.113485
0.257692,0.134101
0.210138,0.145168
0.293236,0.149521
0.230767,0.147135
0.234514,0.149432
0.274447,0.145005
0.264985,0.161078
0.216603,0.150358
0.234627,0.134675
0.26929,0.139085
0.22098,0.15419
0.297533,0.139168
0.247829,0.145319
0.219283,0.14121
0.26467,0.118886
0.27251,0.12793
0.248997,0.135326
0.266563,0.12571
0.260627,0.131465
0.251116,0.13998
0.249638,0.168955
0.220099,0.134038
0.212773,0.13651
0.22628,0.122519
0.270983,0.148918
0.243405,0.134548
0.311561,0.143554
0.311571,0.14616
0.211469,0.107912
0.213844,0.118691
0.236811,0.155103
0.270017,0.149138
0.2634,0.137164
0.2504,0.135818
0.200758,0.109436
0.320536,0.131846
0.296662,0.127184
0.257323,0.125666
0.285286,0.147223
0.249265,0.142589
0.292851,0.146311
0.227348,0.137488
0.282572,0.152576
0.253878,0.130353
0.293898,0.120884
0.278252,0.140964
0.270135,0.127819
